"Name","Category","Supplier","Store","Date","Description","Total Quantity","Generated By","Purchase Price ($)"
"Medical  Equipment","Medical Equipment","Quick Service","SK Pharma","01/15/2026","High Quality Medical Equipment , Surgical Equipment , Surgical Instruments , Pharmaceutical Instruments and Pharmaceutical Testing Machines","80","Super Admin (9001)","200.00"
"Uniform (Patient-Staff)","Uniforms","VK Supplier","Vardaan","01/10/2026","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations. Staff Dress Code.","50","Super Admin (9001)","150.00"
"Syringe","Syringe Packs","Quick Service","Vinay Pharmacy","01/05/2026","Syringe Packs","80","Super Admin (9001)","60.00"
"Bed Sheet","Bed Sheets","VK Supplier","SK Pharma","01/01/2026","Patient Bed Sheets","100","Super Admin (9001)","150.00"
"Surgical blade","Surgical blades","Quick Service","Vinay Pharmacy","12/18/2025","","100","Super Admin (9001)","80.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","Quick Service","Vinay Pharmacy","12/30/2025","High Quality Medical Equipment , Surgical Equipment , Surgical Instruments , Pharmaceutical Instrument.","15","Super Admin (9001)","180.00"
"Operating Scissors","Medical scissors","VK Supplier","SK Pharma","12/25/2025","For prefilled syringes, plastic or glass syringes are the primary packaging devices","25","Super Admin (9001)","130.00"
"Pharmacist Equipement","Medical Equipment","Quick Service","Vinay Pharmacy","12/20/2025","High Quality Medical Equipment Pharmaceutical Testing Machines","100","Super Admin (9001)","180.00"
"Dressing Cotton","Cotton Packs","VK Supplier","Vinay Pharmacy","12/15/2025","Dressing Cotton","45","Super Admin (9001)","120.00"
"Syringe","Syringe Packs","VK Supplier","Vardaan","12/10/2025","For prefilled syringes, plastic or glass syringes are the primary packaging devices.","50","Super Admin (9001)","120.00"
"Uniform (Patient-Staff)","Uniforms","Quick Service","Vinay Pharmacy","12/05/2025","Staff Dress Code using ot","20","Super Admin (9001)","180.00"
"Bed Sheet","Bed Sheets","VK Supplier","SK Pharma","12/01/2025","A bed sheet is a rectangular piece of cloth used either singly or in a pair as bedding, being placed immediately below or above bed occupants","50","Super Admin (9001)","150.00"
"Syringe","Syringe Packs","Quick Service","SK Pharma","11/30/2025","Syringe Packs","15","Super Admin (9001)","160.00"
"Medical shoe and boot covers","Apparel","VK Supplier","Vinay Pharmacy","11/25/2025","Hairnets, bouffant, and beard nets prevent hair from falling into food, pharmaceuticals, and other substances to ensure a clean and hygienic work area.","30","Super Admin (9001)","180.00"
"Dressing Cotton","Cotton Packs","Quick Service","SK Pharma","11/20/2025","Dressing Cotton","25","Super Admin (9001)","150.00"
"Uniform (Patient-Staff)","Uniforms","VK Supplier","Vardaan","11/15/2025","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations. Staff Dress Code.","20","Super Admin (9001)","150.00"
"Personal Protective Equipment Kit","Medical Equipment","Quick Service","Vinay Pharmacy","11/10/2025","High Quality Medical Equipment  Pharmaceutical Testing Machines.","15","Super Admin (9001)","200.00"
"Bed Sheet","Bed Sheets","Quick Service","Vinay Pharmacy","11/05/2025","A bed sheet is a rectangular piece of cloth used either singly or in a pair as bedding, being placed immediately below or above bed occupants","25","Super Admin (9001)","180.00"
"Syringe","Syringe Packs","VK Supplier","SK Pharma","11/01/2025","For prefilled syringes, plastic or glass syringes are the primary packaging devices.","50","Super Admin (9001)","150.00"
"Medical shoe and boot covers","Apparel","VK Supplier","Vardaan","10/30/2025","Staff Dress Code using ot","25","Super Admin (9001)","160.00"
"Operating Scissors","Medical scissors","Quick Service","Vardaan","10/25/2025","For prefilled syringes, plastic or glass syringes are the primary packaging devices.","35","Super Admin (9001)","180.00"
"Automatic Blood Pressure","Automatic Blood Pressure Cuff","VK Supplier","Vinay Pharmacy","10/20/2025","Displays simultaneous readings of systolic and diastolic blood pressure and pulse.","25","Super Admin (9001)","150.00"
"Uniform (Patient-Staff)","Uniforms","Quick Service","SK Pharma","10/15/2025","Wearing a uniform in the workplace helps to identify employees, avoiding mistakes and uncomfortable situations.Staff Dress Code.","30","Super Admin (9001)","180.00"
